Game Title,User Rating,Age Group Targeted, Price ,Platform,Release Year,Genre,User Review Text,Game Mode
Grand Theft Auto V,36,All Ages,41.41,PC,2015,Adventure,"Solid game, but too many bugs.",Offline
The Sims 4,38,Adults,57.56,PC,2015,Shooter,"Solid game, but too many bugs.",Offline
Minecraft,27,Teens,44.93,PC,2012,Adventure,"Great game, but the graphics could be better.",Offline
Bioshock Infinite,38,All Ages,48.29,Mobile,2015,Sports,"Solid game, but the graphics could be better.",Online
Half-Life: Alyx,30,Adults,55.49,PlayStation,2022,RPG,"Great game, but too many bugs.",Offline
Grand Theft Auto V,39,Adults,51.73,Xbox,2017,RPG,"Solid game, but the graphics could be better.",Offline
Sid Meier’s Civilization VI,33,Adults,46.44,Mobile,2020,Simulation,"Solid game, but the gameplay is amazing.",Online
Just Dance 2024,32,Teens,36.92,Nintendo Switch,2012,Strategy,"Disappointing game, but the gameplay is amazing.",Offline
Sid Meier’s Civilization VI,27,All Ages,22.20,Nintendo Switch,2010,Fighting,"Great game, but the gameplay is amazing.",Online
1000-Piece Puzzle,24,Kids,20.09,PC,2013,Sports,"Solid game, but the graphics could be better.",Offline
Spelunky 2,29,Adults,27.76,Mobile,2017,Adventure,"Amazing game, but the gameplay is amazing.",Offline
Street Fighter V,37,All Ages,58.01,PlayStation,2010,Fighting,"Solid game, but too many bugs.",Offline
Street Fighter V,28,Kids,42.13,PC,2018,Shooter,"Great game, but too many bugs.",Offline
Fall Guys,43,Teens,50.53,Nintendo Switch,2011,Strategy,"Great game, but too many bugs.",Offline
The Sims 4,18,Teens,21.71,PC,2015,Action,"Solid game, but the gameplay is amazing.",Offline
Rocket League,29,Kids,52.91,PlayStation,2012,Party,"Solid game, but the gameplay is amazing.",Offline
The Elder Scrolls V: Skyrim,32,All Ages,32.80,PC,2014,Simulation,"Disappointing game, but the gameplay is amazing.",Offline
Among Us,19,Teens,20.81,Mobile,2015,RPG,"Disappointing game, but the graphics could be better.",Online
Fall Guys,30,Teens,40.94,Mobile,2011,Action,"Disappointing game, but the gameplay is amazing.",Online
Stardew Valley,36,Kids,48.29,Mobile,2016,Shooter,"Solid game, but the gameplay is amazing.",Online
Spelunky 2,31,All Ages,45.94,PC,2016,Adventure,"Great game, but the graphics could be better.",Offline
Call of Duty: Modern Warfare 2,26,All Ages,32.30,PC,2023,Strategy,"Disappointing game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,31,Adults,29.05,PlayStation,2013,Adventure,"Amazing game, but too many bugs.",Offline
Tekken 7,27,Teens,38.03,PC,2022,Simulation,"Solid game, but the gameplay is amazing.",Online
Pillars of Eternity II: Deadfire,26,All Ages,23.59,Xbox,2016,Puzzle,"Solid game, but too many bugs.",Offline
Animal Crossing: New Horizons,28,Teens,49.11,Xbox,2012,Adventure,"Solid game, but the gameplay is amazing.",Offline
Hades,36,Kids,39.41,Nintendo Switch,2018,Sports,"Great game, but the graphics could be better.",Online
Mario Kart 8 Deluxe,37,All Ages,42.53,PC,2016,Simulation,"Amazing game, but the graphics could be better.",Offline
Tekken 7,43,Adults,52.81,PC,2015,Strategy,"Disappointing game, but the graphics could be better.",Offline
Overwatch 2,32,All Ages,54.21,PlayStation,2014,Shooter,"Disappointing game, but too many bugs.",Online
Mario Kart 8 Deluxe,35,Kids,43.23,Nintendo Switch,2023,Adventure,"Great game, but too many bugs.",Offline
Street Fighter V,32,All Ages,45.25,Mobile,2021,Puzzle,"Disappointing game, but too many bugs.",Online
Fortnite,33,Kids,32.73,Nintendo Switch,2021,Party,"Great game, but the graphics could be better.",Online
Pokémon Scarlet & Violet,30,All Ages,53.12,PC,2012,Puzzle,"Amazing game, but too many bugs.",Online
Mario Kart 8 Deluxe,29,Kids,27.34,Nintendo Switch,2017,Adventure,"Disappointing game, but too many bugs.",Offline
Sid Meier’s Civilization VI,30,All Ages,45.46,PlayStation,2020,Adventure,"Solid game, but the gameplay is amazing.",Offline
Overwatch 2,33,All Ages,57.97,PlayStation,2017,Fighting,"Disappointing game, but the gameplay is amazing.",Offline
Spelunky 2,36,Adults,35.69,PlayStation,2013,Fighting,"Great game, but too many bugs.",Offline
The Elder Scrolls V: Skyrim,22,Kids,22.57,Mobile,2015,Action,"Solid game, but too many bugs.",Online
Hitman 3,19,Teens,24.99,Mobile,2015,Shooter,"Solid game, but the gameplay is amazing.",Offline
Call of Duty: Modern Warfare 2,31,Adults,39.40,Nintendo Switch,2015,Fighting,"Great game, but too many bugs.",Online
Tomb Raider (2013),34,Adults,47.59,PC,2017,Shooter,"Great game, but the graphics could be better.",Offline
Half-Life: Alyx,29,Teens,25.85,Xbox,2023,Fighting,"Great game, but too many bugs.",Online
Call of Duty: Modern Warfare 2,34,Adults,51.48,Xbox,2013,Simulation,"Disappointing game, but the gameplay is amazing.",Online
Rocket League,32,Adults,34.34,PlayStation,2023,Action,"Solid game, but the graphics could be better.",Offline
